"delivery_id","total_cbm","delivery_date","metro_name","city","zip","population","lat","lng"
"25687",0.407067,2022-01-12,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"29500",1.507846,2022-01-28,"Los Angeles, CA",Inglewood,"90302",30017.0,33.97472,-118.35551
"32034",1.9561439999999999,2022-02-08,"Los Angeles, CA",Inglewood,"90304",25946.0,33.93799,-118.35857
"29377",0.5472,2022-01-27,"Los Angeles, CA",Santa Monica,"90402",11882.0,34.03561,-118.50364
"31563",1.714314,2022-02-17,"Los Angeles, CA",Santa Monica,"90404",22929.0,34.02662,-118.47364
"26442",2.219219,2022-01-24,"Los Angeles, CA",Santa Monica,"90404",22929.0,34.02662,-118.47364
"36823",0.5329309,2022-03-01,"Los Angeles, CA",Santa Monica,"90404",22929.0,34.02662,-118.47364
"33938",0.532753,2022-02-17,"Los Angeles, CA",Santa Monica,"90404",22929.0,34.02662,-118.47364
"25857",0.6018309,2022-02-04,"Los Angeles, CA",Santa Monica,"90404",22929.0,34.02662,-118.47364
"31604",0.4,2022-02-07,"Los Angeles, CA",Torrance,"90501",41975.0,33.8334,-118.31426
"32156",0.48,2022-02-15,"Los Angeles, CA",Torrance,"90501",41975.0,33.8334,-118.31426
"33643",0.532753,2022-02-11,"Los Angeles, CA",Torrance,"90501",41975.0,33.8334,-118.31426
"31562",1.714314,2022-02-17,"Los Angeles, CA",Torrance,"90503",44605.0,33.84074,-118.35361
"31480",0.61446,2022-02-15,"Los Angeles, CA",Torrance,"90503",44605.0,33.84074,-118.35361
"30292",1.419943446,2022-02-01,"Los Angeles, CA",Torrance,"90503",44605.0,33.84074,-118.35361
"35462",1.053587,2022-02-22,"Los Angeles, CA",Torrance,"90505",37220.0,33.80887,-118.34802
"32588",0.5472,2022-02-09,"Los Angeles, CA",Torrance,"90505",37220.0,33.80887,-118.34802
"27282",1.075604,2022-01-20,"Los Angeles, CA",Torrance,"90505",37220.0,33.80887,-118.34802
"24501",0.399,2022-01-21,"Los Angeles, CA",Buena Park,"90620",46414.0,33.84612,-118.01169
"22746",0.76335075,2022-01-27,"Los Angeles, CA",La Habra,"90631",69064.0,33.94248,-117.95134
"29322",0.5472,2022-01-28,"Los Angeles, CA",La Habra,"90631",69064.0,33.94248,-117.95134
"27174",0.367821888,2022-01-20,"Los Angeles, CA",La Habra,"90631",69064.0,33.94248,-117.95134
"34403",0.89913475,2022-02-16,"Los Angeles, CA",La Mirada,"90638",49227.0,33.90241,-118.0092
"32117",0.8602,2022-02-18,"Los Angeles, CA",La Mirada,"90638",49227.0,33.90241,-118.0092
"33567",0.48,2022-02-11,"Los Angeles, CA",La Mirada,"90638",49227.0,33.90241,-118.0092
"31760",0.4,2022-02-07,"Los Angeles, CA",La Mirada,"90638",49227.0,33.90241,-118.0092
"30784",1.714314,2022-02-03,"Los Angeles, CA",La Mirada,"90638",49227.0,33.90241,-118.0092
"32578",0.510494,2022-02-18,"Los Angeles, CA",La Mirada,"90638",49227.0,33.90241,-118.0092
"26578",3.0553995,2022-01-21,"Los Angeles, CA",La Mirada,"90638",49227.0,33.90241,-118.0092
"20813",1.075604,2022-01-20,"Los Angeles, CA",Cerritos,"90703",50589.0,33.86785,-118.06871
"37427",0.863784,2022-03-04,"Los Angeles, CA",Cerritos,"90703",50589.0,33.86785,-118.06871
"33691",0.98914825,2022-02-15,"Los Angeles, CA",Cerritos,"90703",50589.0,33.86785,-118.06871
"36328",1.507846,2022-02-24,"Los Angeles, CA",Lakewood,"90712",31217.0,33.84901,-118.14672
"34287",0.6789685,2022-02-15,"Los Angeles, CA",Lakewood,"90712",31217.0,33.84901,-118.14672
"30250",0.187704,2022-02-01,"Los Angeles, CA",Lakewood,"90712",31217.0,33.84901,-118.14672
"23573",0.36332425,2022-01-10,"Los Angeles, CA",Lakewood,"90712",31217.0,33.84901,-118.14672
"25892",0.45276,2022-01-12,"Los Angeles, CA",Lakewood,"90712",31217.0,33.84901,-118.14672
"27504",0.8243707499999999,2022-01-25,"Los Angeles, CA",Los Alamitos,"90720",22261.0,33.79557,-118.0636
"24226",2.68747225,2022-01-11,"Los Angeles, CA",Los Alamitos,"90720",22261.0,33.79557,-118.0636
"28760",0.5472,2022-01-27,"Los Angeles, CA",Los Alamitos,"90720",22261.0,33.79557,-118.0636
"24502",1.4679200000000001,2022-01-31,"Los Angeles, CA",San Pedro,"90732",22780.0,33.74507,-118.31012
"04328",0.8243707499999999,2022-02-23,"Los Angeles, CA",San Pedro,"90732",22780.0,33.74507,-118.31012
